name	start_line	end_line	line_count	priority	recommendation
worldSetupActionInnerSafeRect	14311	14324	14	normal	leave until owning subsystem is clearer
tacticalPromptLine	16132	16145	14	normal	leave until owning subsystem is clearer
inventoryGridIndexAt	16630	16643	14	normal	leave until owning subsystem is clearer
transferFirstEquipmentItemBackToInventory	16799	16812	14	normal	leave until owning subsystem is clearer
currentScrollableTag	17210	17223	14	normal	leave until owning subsystem is clearer
removeContainerInstanceByName	17818	17831	14	normal	leave until owning subsystem is clearer
consumeSpecificInventoryItem	18252	18265	14	normal	leave until owning subsystem is clearer
playerMedicalStatusLine	19237	19250	14	normal	leave until owning subsystem is clearer
ownedBusinessLines	19284	19297	14	normal	leave until owning subsystem is clearer
drawSurvivalStateTab	19621	19634	14	render	render helper candidate
applyOptions	19838	19851	14	normal	leave until owning subsystem is clearer
desiredMusicContext	633	645	13	normal	leave until owning subsystem is clearer
maybeAutosave	985	997	13	normal	leave until owning subsystem is clearer
baseObjectConditionReadLine	2238	2250	13	normal	leave until owning subsystem is clearer
emergencyMachineImagePath	2507	2519	13	normal	leave until owning subsystem is clearer
applyAwakeSurvivalTick	2936	2948	13	normal	leave until owning subsystem is clearer
applyHourlyProgressionTick	2951	2963	13	normal	leave until owning subsystem is clearer
gainXp	2965	2977	13	normal	leave until owning subsystem is clearer
unconsciousItemLoss	3072	3084	13	normal	leave until owning subsystem is clearer
movePlayerInto	3734	3746	13	normal	leave until owning subsystem is clearer
bestWeaponName	4080	4092	13	normal	leave until owning subsystem is clearer
tickThrownAndPlantedExplosives	4307	4319	13	normal	leave until owning subsystem is clearer
maybeTriggerPlantedExplosive	4321	4333	13	normal	leave until owning subsystem is clearer
beginCombatTargeting	4425	4437	13	normal	leave until owning subsystem is clearer
shieldMitigationPercentAt	4576	4588	13	normal	leave until owning subsystem is clearer
disguiseChance	5207	5219	13	normal	leave until owning subsystem is clearer
applyPortableLightVisibility	5517	5529	13	normal	leave until owning subsystem is clearer
nearbyDisguiseWitnessFactions	5903	5915	13	normal	leave until owning subsystem is clearer
applyRandomArbitesStatLoss	6115	6127	13	normal	leave until owning subsystem is clearer
arbitesEvidenceItemLoss	6129	6141	13	normal	leave until owning subsystem is clearer
selectedTradeReadabilityLines	6643	6655	13	normal	leave until owning subsystem is clearer
constructionExpansionHeatLine	7746	7758	13	normal	leave until owning subsystem is clearer
findOpenBaseSpot	8770	8782	13	normal	leave until owning subsystem is clearer
spawnFetchObject	8916	8928	13	normal	leave until owning subsystem is clearer
takeSelectedTargetInventoryItem	9554	9566	13	normal	leave until owning subsystem is clearer
updateLoadingPhase	9880	9892	13	normal	leave until owning subsystem is clearer
refreshSectorAuditSnapshot	10667	10679	13	normal	leave until owning subsystem is clearer
zoomKnowledgeTreeAt	12238	12250	13	normal	leave until owning subsystem is clearer
handleKnowledgeTreeClick	12293	12305	13	normal	leave until owning subsystem is clearer
existingInfopediaRelatedEntries	12816	12828	13	normal	leave until owning subsystem is clearer
factionInfopediaLines	13743	13755	13	normal	leave until owning subsystem is clearer
factionPresenceText	13838	13850	13	normal	leave until owning subsystem is clearer
factionTradeBiasText	13852	13864	13	normal	leave until owning subsystem is clearer
saveLoadUiRects	14440	14452	13	normal	leave until owning subsystem is clearer
npcVisionContains	15547	15559	13	normal	leave until owning subsystem is clearer
corridorArtRotatesEastWest	15606	15618	13	normal	leave until owning subsystem is clearer
factionUiColorForZone	17132	17144	13	normal	leave until owning subsystem is clearer
countContainerItems	17582	17594	13	normal	leave until owning subsystem is clearer
buyTraderOfferIntoInventory	17612	17624	13	normal	leave until owning subsystem is clearer
baseRosterGuidanceLines	18312	18324	13	normal	leave until owning subsystem is clearer
recruitBestAssignmentLine	18390	18402	13	normal	leave until owning subsystem is clearer
baseStorageGuidanceLines	18507	18519	13	normal	leave until owning subsystem is clearer
rivalFactionForBusiness	18931	18943	13	normal	leave until owning subsystem is clearer
addFactionMarketPressure	18955	18967	13	normal	leave until owning subsystem is clearer
seedNpcFactionProductionSites	18999	19011	13	normal	leave until owning subsystem is clearer
changeWorldZoom	19917	19929	13	normal	leave until owning subsystem is clearer
drawUiTextLine	20673	20685	13	render	render helper candidate
autosaveZoneTransition	999	1010	12	normal	leave until owning subsystem is clearer
questEvidenceReadLine	2067	2078	12	normal	leave until owning subsystem is clearer
addInfopediaRelatedEntryButtons	2440	2451	12	normal	leave until owning subsystem is clearer
confirmInteraction	2834	2845	12	normal	leave until owning subsystem is clearer
maybePlayCoreAmbientCue	3448	3459	12	normal	leave until owning subsystem is clearer
pickWeightedCue	3461	3472	12	normal	leave until owning subsystem is clearer
soundPingAudioKey	3492	3503	12	normal	leave until owning subsystem is clearer
processPendingMovementInput	3613	3624	12	normal	leave until owning subsystem is clearer
hostileIntentBark	3997	4008	12	normal	leave until owning subsystem is clearer
maybeGrantSneakXp	4039	4050	12	normal	leave until owning subsystem is clearer
factionArmor	4094	4105	12	normal	leave until owning subsystem is clearer
consumeLoadedShotsForAttack	4203	4214	12	normal	leave until owning subsystem is clearer
moveCombatCursor	4439	4450	12	normal	leave until owning subsystem is clearer
drainContainerItemNames	4726	4737	12	normal	leave until owning subsystem is clearer
applyMedicalProgressionTick	5140	5151	12	normal	leave until owning subsystem is clearer
ambientLightLevelForWorld	5269	5280	12	normal	leave until owning subsystem is clearer
applyLightCircle	5545	5556	12	normal	leave until owning subsystem is clearer
clearVisibleTiles	5609	5620	12	normal	leave until owning subsystem is clearer
handleDisguiseFailure	5917	5928	12	normal	leave until owning subsystem is clearer
tradeMarketStatusLine	6750	6761	12	normal	leave until owning subsystem is clearer
listenToPortableBroadcastReceiver	7063	7074	12	normal	leave until owning subsystem is clearer
interactIntermapTransit	7318	7329	12	normal	leave until owning subsystem is clearer
productionNextUnblockLine	7857	7868	12	normal	leave until owning subsystem is clearer
processProgressiveConstructionSites	7946	7957	12	normal	leave until owning subsystem is clearer
operateMicroLab	8256	8267	12	normal	leave until owning subsystem is clearer
adjustSelectedMachineQueue	8535	8546	12	normal	leave until owning subsystem is clearer
lootContractChipIfNeeded	8941	8952	12	normal	leave until owning subsystem is clearer
applyJobProfile	10226	10237	12	normal	leave until owning subsystem is clearer
currentOperatorPortraitIcon	10522	10533	12	normal	leave until owning subsystem is clearer
advanceAuditTracePlaybackIfNeeded	10711	10722	12	normal	leave until owning subsystem is clearer
openUserProfileSurface	10794	10805	12	normal	leave until owning subsystem is clearer
decodeEditorGrid	11345	11356	12	normal	leave until owning subsystem is clearer
introCrawlCharMillisForTarget	12139	12150	12	normal	leave until owning subsystem is clearer
drawIntroCloudLayer	12152	12163	12	render	render helper candidate
handleKnowledgeKeyPressed	12318	12329	12	normal	leave until owning subsystem is clearer
drawKnowledgeScreen	12331	12342	12	render	render helper candidate
cycleInfopediaAssetType	12715	12726	12	normal	leave until owning subsystem is clearer
optionControlInnerSafeRect	14251	14262	12	normal	leave until owning subsystem is clearer
projectileGlyphForWeapon	15005	15016	12	normal	leave until owning subsystem is clearer
directMovementTargetBlockReason	15281	15292	12	normal	leave until owning subsystem is clearer
assetTypeForDescriptor	15667	15678	12	normal	leave until owning subsystem is clearer
roadRunsEastWest	15697	15708	12	normal	leave until owning subsystem is clearer
rankColor	15962	15973	12	normal	leave until owning subsystem is clearer
stackLinesFor	16381	16392	12	normal	leave until owning subsystem is clearer
addItemToContainerResult	17653	17664	12	normal	leave until owning subsystem is clearer
processPortableLightTick	18215	18226	12	normal	leave until owning subsystem is clearer
buyBusinessPermit	18711	18722	12	normal	leave until owning subsystem is clearer
siteForFaction	19013	19024	12	normal	leave until owning subsystem is clearer
drawNewsArchivePanel	19551	19562	12	render	render helper candidate
closePanel	850	860	11	normal	leave until owning subsystem is clearer
acceptEulaGate	906	916	11	normal	leave until owning subsystem is clearer
moveInteractCursor	1816	1826	11	normal	leave until owning subsystem is clearer
questEvidenceReadLine	2080	2090	11	normal	leave until owning subsystem is clearer
purchaseSelectedInfopediaKnowledge	3015	3025	11	normal	leave until owning subsystem is clearer
shoveDestinationFor	3839	3849	11	normal	leave until owning subsystem is clearer
plantExplosiveAt	4289	4299	11	normal	leave until owning subsystem is clearer
weaponRange	4486	4496	11	normal	leave until owning subsystem is clearer
tickCorpseEcology	4692	4702	11	normal	leave until owning subsystem is clearer
applyTraumaSleepPressure	5060	5070	11	normal	leave until owning subsystem is clearer
interrogationChance	5221	5231	11	normal	leave until owning subsystem is clearer
rangedDarknessPenalty	5416	5426	11	normal	leave until owning subsystem is clearer
detectionLightPenalty	5428	5438	11	normal	leave until owning subsystem is clearer
visionForwardRadius	5456	5466	11	normal	leave until owning subsystem is clearer
visionSideRadius	5468	5478	11	normal	leave until owning subsystem is clearer
visionRearRadius	5480	5490	11	normal	leave until owning subsystem is clearer
doorwayExposureBonus	5770	5780	11	normal	leave until owning subsystem is clearer
npcSoundLabel	5789	5799	11	normal	leave until owning subsystem is clearer
scavengeFromRoomCache	6280	6290	11	normal	leave until owning subsystem is clearer
purgePhysicalScriptInstances	6891	6901	11	normal	leave until owning subsystem is clearer
claimBaseHere	7537	7547	11	normal	leave until owning subsystem is clearer
constructionCategoryFor	7769	7779	11	normal	leave until owning subsystem is clearer
openSelectedBankAccount	9127	9137	11	normal	leave until owning subsystem is clearer
applyBankManagerSchedules	9369	9379	11	normal	leave until owning subsystem is clearer
isCorridorOrDoorAdjacency	9987	9997	11	normal	leave until owning subsystem is clearer
nameLockedProfileStartingItems	10122	10132	11	normal	leave until owning subsystem is clearer
tileImage	10407	10417	11	normal	leave until owning subsystem is clearer
setAuditZoneTypeIndex	10590	10600	11	normal	leave until owning subsystem is clearer
auditSettings	10621	10631	11	normal	leave until owning subsystem is clearer
attemptKnowledgeUnlock	12281	12291	11	normal	leave until owning subsystem is clearer
moveInfopediaSelection	12748	12758	11	normal	leave until owning subsystem is clearer
infopediaDetailLinesWithRelated	13218	13228	11	normal	leave until owning subsystem is clearer
worldSetupGenerateInnerSafeRect	14222	14232	11	normal	leave until owning subsystem is clearer
drawPanelBox	14515	14525	11	render	render helper candidate
nudgeManualMovementPlan	15181	15191	11	normal	leave until owning subsystem is clearer
factionIntentMasking	15456	15466	11	normal	leave until owning subsystem is clearer
npcVisionRange	15485	15495	11	normal	leave until owning subsystem is clearer
setEquippedItemForSlot	16719	16729	11	normal	leave until owning subsystem is clearer
readableContractRoute	17062	17072	11	normal	leave until owning subsystem is clearer
factionMemberGearUseLine	18352	18362	11	normal	leave until owning subsystem is clearer
recruitGearAdviceLine	18404	18414	11	normal	leave until owning subsystem is clearer
baseObjectExpansionHeatTag	18474	18484	11	normal	leave until owning subsystem is clearer
baseStoredItemSafetyLine	18570	18580	11	normal	leave until owning subsystem is clearer
hourlyNpcFactionProductionTick	19026	19036	11	normal	leave until owning subsystem is clearer
activeHoverButtonIndex	20699	20709	11	normal	leave until owning subsystem is clearer
keyReleased	21247	21257	11	normal	leave until owning subsystem is clearer
hostilePressureNearby	676	685	10	normal	leave until owning subsystem is clearer
resolveOperatorProfileName	737	746	10	normal	leave until owning subsystem is clearer
openPanel	839	848	10	normal	leave until owning subsystem is clearer
beginInteractMode	1805	1814	10	normal	leave until owning subsystem is clearer
animalBodyPlanLine	2127	2136	10	normal	leave until owning subsystem is clearer
sameFactionFamilyStatic	2542	2551	10	normal	leave until owning subsystem is clearer
confirmInteractionBody	2847	2856	10	normal	leave until owning subsystem is clearer
advancePlayerAndWorldTime	2915	2924	10	normal	leave until owning subsystem is clearer
processMachineOperationQueueTick	3241	3250	10	normal	leave until owning subsystem is clearer
cycleMovementMode	3260	3269	10	normal	leave until owning subsystem is clearer
motionVisionModifier	3322	3331	10	normal	leave until owning subsystem is clearer
motionDetailVisionModifier	3333	3342	10	normal	leave until owning subsystem is clearer
motionHearingModifier	3344	3353	10	normal	leave until owning subsystem is clearer
playerAttackMotionSkillModifier	3355	3364	10	normal	leave until owning subsystem is clearer
playerDefenseMotionModifier	3366	3375	10	normal	leave until owning subsystem is clearer
executePacedMovementBody	3602	3611	10	normal	leave until owning subsystem is clearer
waitOneTurn	3876	3885	10	normal	leave until owning subsystem is clearer
nearestAttackTarget	4069	4078	10	normal	leave until owning subsystem is clearer
explosiveLandingPoint	4278	4287	10	normal	leave until owning subsystem is clearer
npcEvasionModifier	4565	4574	10	normal	leave until owning subsystem is clearer
factionImmediatelyObjects	5196	5205	10	normal	leave until owning subsystem is clearer
portableLightIntensity	5355	5364	10	normal	leave until owning subsystem is clearer
applyZoneFixtureLightVisibility	5531	5540	10	normal	leave until owning subsystem is clearer
soundLabel	5702	5711	10	normal	leave until owning subsystem is clearer
npcMotionSoundModifier	5737	5746	10	normal	leave until owning subsystem is clearer
npcMotionVisionModifier	5748	5757	10	normal	leave until owning subsystem is clearer
npcMotionHearingModifier	5759	5768	10	normal	leave until owning subsystem is clearer
conversationSpeakerReadLine	6574	6583	10	normal	leave until owning subsystem is clearer
inventoryTransferWorkflowPreviewLine	6715	6724	10	normal	leave until owning subsystem is clearer
useOffworldTicketAtRail	7258	7267	10	normal	leave until owning subsystem is clearer
openConstructionValidationInfopedia	7576	7585	10	normal	leave until owning subsystem is clearer
constructionPermissionRiskLine	7735	7744	10	normal	leave until owning subsystem is clearer
workRepairClothing	8094	8103	10	normal	leave until owning subsystem is clearer
workAssembleParts	8105	8114	10	normal	leave until owning subsystem is clearer
consumeInventoryNamed	8167	8176	10	normal	leave until owning subsystem is clearer
ensureContractObjectContainer	8961	8970	10	normal	leave until owning subsystem is clearer
stashAllScriptAtBase	9079	9088	10	normal	leave until owning subsystem is clearer
takeScriptFromBase	9090	9099	10	normal	leave until owning subsystem is clearer
bankVaultAccessScore	9235	9244	10	normal	leave until owning subsystem is clearer
nearestBankProfileForManager	9272	9281	10	normal	leave until owning subsystem is clearer
nearbyBankAlarmPanelDisabled	9282	9291	10	normal	leave until owning subsystem is clearer
persistentStockInteractionSummary	9479	9488	10	normal	leave until owning subsystem is clearer
stashOneItem	9769	9778	10	normal	leave until owning subsystem is clearer
takeOneItem	9780	9789	10	normal	leave until owning subsystem is clearer
markZoneVisitedAndCheckFirstType	10044	10053	10	normal	leave until owning subsystem is clearer
renderNormalModeVisualJuice	10349	10358	10	normal	leave until owning subsystem is clearer
jumpAuditFinding	10730	10739	10	normal	leave until owning subsystem is clearer
auditTileHasContainer	11693	11702	10	normal	leave until owning subsystem is clearer
auditTileHasTrap	11710	11719	10	normal	leave until owning subsystem is clearer
knowledgeNodeAt	12307	12316	10	normal	leave until owning subsystem is clearer
likelyNpcText	13869	13878	10	normal	leave until owning subsystem is clearer
activateSelectedButtonUniversal	14504	14513	10	normal	leave until owning subsystem is clearer
interactionTargetLabel	15263	15272	10	normal	leave until owning subsystem is clearer
npcHearingRange	15497	15506	10	normal	leave until owning subsystem is clearer
activePortraitImage	15891	15900	10	normal	leave until owning subsystem is clearer
itemLegalRiskLine	16570	16579	10	normal	leave until owning subsystem is clearer
equippedItemForSlot	16708	16717	10	normal	leave until owning subsystem is clearer
contractZoneTarget	17045	17054	10	normal	leave until owning subsystem is clearer
removeInventoryItemResult	17843	17852	10	normal	leave until owning subsystem is clearer
factionForClothingItem	17973	17982	10	normal	leave until owning subsystem is clearer
stabilizeWorstLimb	18083	18092	10	normal	leave until owning subsystem is clearer
healWorstBodyPart	18094	18103	10	normal	leave until owning subsystem is clearer
factionMemberEquipmentCandidates	18341	18350	10	normal	leave until owning subsystem is clearer
baseExpansionHeatGuidanceLines	18416	18425	10	normal	leave until owning subsystem is clearer
baseExpansionSuspicionDriverLine	18453	18462	10	normal	leave until owning subsystem is clearer
baseStorageCapacity	18521	18530	10	normal	leave until owning subsystem is clearer
baseObjectManagementLine	18615	18624	10	normal	leave until owning subsystem is clearer
contestedMarketSummaryLine	19137	19146	10	normal	leave until owning subsystem is clearer
playerTreatmentPriorityLine	19252	19261	10	normal	leave until owning subsystem is clearer
cycleArtQuality	19861	19870	10	normal	leave until owning subsystem is clearer
clearGeneratedAssetPayloadRoot	19894	19903	10	normal	leave until owning subsystem is clearer
updateDynamicMusic	623	631	9	normal	leave until owning subsystem is clearer
hostileGovernorPressureNearby	687	695	9	normal	leave until owning subsystem is clearer
runGuarded	879	887	9	normal	leave until owning subsystem is clearer
petTemperamentReadLine	2170	2178	9	normal	leave until owning subsystem is clearer
npcSensesReadLine	2261	2269	9	normal	leave until owning subsystem is clearer
visibleNpcEquipmentLine	2295	2303	9	normal	leave until owning subsystem is clearer
petInteractionLine	2357	2365	9	normal	leave until owning subsystem is clearer
petGestureName	2367	2375	9	normal	leave until owning subsystem is clearer
vendItem	2699	2707	9	normal	leave until owning subsystem is clearer
applyStarvationDamageIfNeeded	2926	2934	9	normal	leave until owning subsystem is clearer
evaluatePlayerDefeatState	3127	3135	9	normal	leave until owning subsystem is clearer
settlePlayerMotionAfterNoMoveTurn	3310	3318	9	normal	leave until owning subsystem is clearer
crippledArmCount	3384	3392	9	normal	leave until owning subsystem is clearer
inputPacingIntervalMillis	3544	3552	9	normal	leave until owning subsystem is clearer
clearPendingMovementInput	3554	3562	9	normal	leave until owning subsystem is clearer
suspiciousStealthBark	4029	4037	9	normal	leave until owning subsystem is clearer
mapObjectAt	4357	4365	9	normal	leave until owning subsystem is clearer
lightDescriptionAt	5390	5398	9	normal	leave until owning subsystem is clearer
directionAndDistanceLabel	5801	5809	9	normal	leave until owning subsystem is clearer
beggingPayoutBase	6336	6344	9	normal	leave until owning subsystem is clearer
beggingArbitesRisk	6345	6353	9	normal	leave until owning subsystem is clearer
tradeSellScrap	6363	6371	9	normal	leave until owning subsystem is clearer
contractEvidenceGuidanceLines	6602	6610	9	normal	leave until owning subsystem is clearer
tradeBuyTransferPreviewLine	6696	6704	9	normal	leave until owning subsystem is clearer
intermapTransitLabel	7242	7250	9	normal	leave until owning subsystem is clearer
oppositeEdgeSpawn	7380	7388	9	normal	leave until owning subsystem is clearer
moveBuildCursor	7608	7616	9	normal	leave until owning subsystem is clearer
constructionComponentReadinessLine	7790	7798	9	normal	leave until owning subsystem is clearer
buildStructuralRequirementProblem	7870	7878	9	normal	leave until owning subsystem is clearer
buildComponentRequirementProblem	7880	7888	9	normal	leave until owning subsystem is clearer
moveStaffingStationSelection	8341	8349	9	normal	leave until owning subsystem is clearer
assignSelectedWorkerToStaffingStation	8360	8368	9	normal	leave until owning subsystem is clearer
applyFactionMarketPressureFromGeneratedProduction	8661	8669	9	normal	leave until owning subsystem is clearer
spawnContractTargetsForCurrentWorld	8883	8891	9	normal	leave until owning subsystem is clearer
transferFirstContainerItemToInventory	8977	8985	9	normal	leave until owning subsystem is clearer
containerNextItemSummary	9469	9477	9	normal	leave until owning subsystem is clearer
takeAllTargetInventoryItems	9568	9576	9	normal	leave until owning subsystem is clearer
addLootListToContainer	9650	9658	9	normal	leave until owning subsystem is clearer
findContainerInstanceIdByName	9744	9752	9	normal	leave until owning subsystem is clearer
drawBackground	10360	10368	9	render	render helper candidate
drawBootGear	10490	10498	9	render	render helper candidate
containedAuditZoneButtonStart	10602	10610	9	normal	leave until owning subsystem is clearer
multiplayerHostCurrentWorld	10784	10792	9	normal	leave until owning subsystem is clearer
inGameEditorPalettes	11110	11118	9	normal	leave until owning subsystem is clearer
editorFloorColor	11336	11344	9	normal	leave until owning subsystem is clearer
activeKnowledgeTreeSnapshot	12176	12184	9	normal	leave until owning subsystem is clearer
knowledgeCanvasRect	12215	12223	9	normal	leave until owning subsystem is clearer
cycleInfopediaTab	12694	12702	9	normal	leave until owning subsystem is clearer
appendInfopediaAssetFilter	12728	12736	9	normal	leave until owning subsystem is clearer
backspaceInfopediaAssetFilter	12738	12746	9	normal	leave until owning subsystem is clearer
findInfopediaEntryLabel	12830	12838	9	normal	leave until owning subsystem is clearer
zonePlayerWarning	13780	13788	9	normal	leave until owning subsystem is clearer
isCommandSurfaceButton	14347	14355	9	normal	leave until owning subsystem is clearer
fitButtonInto	14383	14391	9	normal	leave until owning subsystem is clearer
virtualUiLayout	14588	14596	9	normal	leave until owning subsystem is clearer
drawPlayerMapIcon	15902	15910	9	render	render helper candidate
recentFeedExternalAwarenessEligible	16081	16089	9	normal	leave until owning subsystem is clearer
drawRightPanelFrame	16218	16226	9	render	render helper candidate
itemCategoryLine	16555	16563	9	normal	leave until owning subsystem is clearer
inferredEquipmentSlotForItem	16767	16775	9	normal	leave until owning subsystem is clearer
factionUiColor	17145	17153	9	normal	leave until owning subsystem is clearer
handleScrollbarClick	17236	17244	9	normal	leave until owning subsystem is clearer
handleScrollbarDrag	17245	17253	9	normal	leave until owning subsystem is clearer
ensureContainer	17596	17604	9	normal	leave until owning subsystem is clearer
transferContainerItemResultAt	17680	17688	9	normal	leave until owning subsystem is clearer
verifyItemOperationalParity	17757	17765	9	normal	leave until owning subsystem is clearer
removeContainerInstanceAt	17833	17841	9	normal	leave until owning subsystem is clearer
removeInventoryAtResult	17858	17866	9	normal	leave until owning subsystem is clearer
stackInventory	17908	17916	9	normal	leave until owning subsystem is clearer
useSelectedInventoryItem	18126	18134	9	normal	leave until owning subsystem is clearer
baseExpansionHeatReliefLine	18464	18472	9	normal	leave until owning subsystem is clearer
baseRaidWarningLine	18794	18802	9	normal	leave until owning subsystem is clearer
rivalFactionForRecipe	18945	18953	9	normal	leave until owning subsystem is clearer
decayFactionMarketPressure	19101	19109	9	normal	leave until owning subsystem is clearer
ownershipText	19667	19675	9	normal	leave until owning subsystem is clearer
controlProfileTitle	20274	20282	9	normal	leave until owning subsystem is clearer
controllerPromptFor	20361	20369	9	normal	leave until owning subsystem is clearer
drawGraphicsDropdownPopupFrame	20570	20578	9	render	render helper candidate
endWindowModeReconfigure	587	594	8	normal	leave until owning subsystem is clearer
recentActionEligible	870	877	8	normal	leave until owning subsystem is clearer
logPersistenceDiagnostic	1033	1040	8	normal	leave until owning subsystem is clearer
fixtureInspectionLine	1933	1940	8	normal	leave until owning subsystem is clearer
updateExamineFocus	1982	1989	8	normal	leave until owning subsystem is clearer
animalShelterReadLine	2211	2218	8	normal	leave until owning subsystem is clearer
npcInjuryEstimate	2220	2227	8	normal	leave until owning subsystem is clearer
npcArmorEstimate	2229	2236	8	normal	leave until owning subsystem is clearer
npcThreatReadLine	2252	2259	8	normal	leave until owning subsystem is clearer
baseObjectUseReadLine	2271	2278	8	normal	leave until owning subsystem is clearer
animalContactBlockedLine	2348	2355	8	normal	leave until owning subsystem is clearer
describeDoor	2377	2384	8	normal	leave until owning subsystem is clearer
doorPreflightHint	2453	2460	8	normal	leave until owning subsystem is clearer
emergencyMachineLocked	2520	2527	8	normal	leave until owning subsystem is clearer
worldLocationSummary	2906	2913	8	normal	leave until owning subsystem is clearer
purchaseKnowledge	2986	2993	8	normal	leave until owning subsystem is clearer
openKnowledgeMenu	3006	3013	8	normal	leave until owning subsystem is clearer
maybeUnlockKnowledgeFromItem	3027	3034	8	normal	leave until owning subsystem is clearer
passiveSleepBodyRecovery	3184	3191	8	normal	leave until owning subsystem is clearer
beginPlayerTileSlide	3404	3411	8	normal	leave until owning subsystem is clearer
spendDeferredSimulationBudget	3626	3633	8	normal	leave until owning subsystem is clearer
resetPushPastIntent	3830	3837	8	normal	leave until owning subsystem is clearer
isHostileNpc	3988	3995	8	normal	leave until owning subsystem is clearer
explosiveTargetingSummary	4240	4247	8	normal	leave until owning subsystem is clearer
detonateExplosiveObject	4374	4381	8	normal	leave until owning subsystem is clearer
confirmCombatTarget	4452	4459	8	normal	leave until owning subsystem is clearer
confirmCombatTargetBody	4461	4468	8	normal	leave until owning subsystem is clearer
defaultTerrainIntegrity	4674	4681	8	normal	leave until owning subsystem is clearer
decayCorpseItemName	4739	4746	8	normal	leave until owning subsystem is clearer
markLocalDirtyRegion	5250	5257	8	normal	leave until owning subsystem is clearer
facingLabel	5447	5454	8	normal	leave until owning subsystem is clearer
rebuildNoiseHearingFieldCache	5811	5818	8	normal	leave until owning subsystem is clearer
dataSpikeScavengeChance	6292	6299	8	normal	leave until owning subsystem is clearer
npcAskWork	6478	6485	8	normal	leave until owning subsystem is clearer
npcAskFaction	6487	6494	8	normal	leave until owning subsystem is clearer
npcAskNeeds	6496	6503	8	normal	leave until owning subsystem is clearer
tradeOfferMove	6634	6641	8	normal	leave until owning subsystem is clearer
tradeSellTransferPreviewLine	6706	6713	8	normal	leave until owning subsystem is clearer
baseStashTransferPreviewLine	6726	6733	8	normal	leave until owning subsystem is clearer
baseTakeTransferPreviewLine	6735	6742	8	normal	leave until owning subsystem is clearer
tradePricePressureLine	6763	6770	8	normal	leave until owning subsystem is clearer
migratePhysicalScriptFromList	6882	6889	8	normal	leave until owning subsystem is clearer
migrateLegacyPhysicalScript	6903	6910	8	normal	leave until owning subsystem is clearer
readLatestInnNews	6963	6970	8	normal	leave until owning subsystem is clearer
openDefenseInfopedia	7567	7574	8	normal	leave until owning subsystem is clearer
clampBuildCursorToClaimedRoom	7618	7625	8	normal	leave until owning subsystem is clearer
updatePendingBuildSummary	7673	7680	8	normal	leave until owning subsystem is clearer
constructionPlacementHintLine	7760	7767	8	normal	leave until owning subsystem is clearer
suggestedConstructionChoiceLine	7781	7788	8	normal	leave until owning subsystem is clearer
visibleCraftingRecipes	8117	8124	8	normal	leave until owning subsystem is clearer
moveCraftRecipeSelection	8126	8133	8	normal	leave until owning subsystem is clearer
productionFactionFor	8200	8207	8	normal	leave until owning subsystem is clearer
moveStaffingWorkerSelection	8351	8358	8	normal	leave until owning subsystem is clearer
clearSelectedStaffingStationWorker	8370	8377	8	normal	leave until owning subsystem is clearer
forecastSelectedLogisticsReservation	8379	8386	8	normal	leave until owning subsystem is clearer
recordSelectedLogisticsDeliveryIntent	8388	8395	8	normal	leave until owning subsystem is clearer
moveWorkerMachineSelection	8461	8468	8	normal	leave until owning subsystem is clearer
rivalFactionForContract	8932	8939	8	normal	leave until owning subsystem is clearer
factionJournalObjectAt	8987	8994	8	normal	leave until owning subsystem is clearer
bankTerminalPreview	9118	9125	8	normal	leave until owning subsystem is clearer
bankVaultPreview	9179	9186	8	normal	leave until owning subsystem is clearer
bankProfileFromNearbyBankObject	9321	9328	8	normal	leave until owning subsystem is clearer
persistentStockObjectAt	9449	9456	8	normal	leave until owning subsystem is clearer
collectCorpseScriptIfPresent	9694	9701	8	normal	leave until owning subsystem is clearer
drawGuiChrome	10370	10377	8	render	render helper candidate
finishBootSequence	10420	10427	8	normal	leave until owning subsystem is clearer
launcherProfileRoute	10535	10542	8	normal	leave until owning subsystem is clearer
applyAuditTraceStep	10687	10694	8	normal	leave until owning subsystem is clearer
openMultiplayerLauncherSurface	10748	10755	8	normal	leave until owning subsystem is clearer
mainMenuTitleDrawSize	10998	11005	8	normal	leave until owning subsystem is clearer
mainMenuSubtitleDrawSize	11007	11014	8	normal	leave until owning subsystem is clearer
createNewInGameEditorEntry	11088	11095	8	normal	leave until owning subsystem is clearer
multiplayerMenuPanelRect	11839	11846	8	normal	leave until owning subsystem is clearer
fitText	12472	12479	8	normal	leave until owning subsystem is clearer
optionPanelInnerSafeRect	14234	14241	8	normal	leave until owning subsystem is clearer
hasSelectedInteractionTarget	15254	15261	8	normal	leave until owning subsystem is clearer
movementPathHazardWarning	15294	15301	8	normal	leave until owning subsystem is clearer
npcFacingDx	15508	15515	8	normal	leave until owning subsystem is clearer
npcFacingDy	15517	15524	8	normal	leave until owning subsystem is clearer
roadVariantKeyForArt	15688	15695	8	normal	leave until owning subsystem is clearer
itemPlayerFacingOriginLine	16581	16588	8	normal	leave until owning subsystem is clearer
unequipSelectedEquipmentSlot	16737	16744	8	normal	leave until owning subsystem is clearer
bodyPartColor	16919	16926	8	normal	leave until owning subsystem is clearer
scrollActivePanel	17224	17231	8	normal	leave until owning subsystem is clearer
provenanceForContainerIndex	17779	17786	8	normal	leave until owning subsystem is clearer
