function	count	file_count	classes	paths
consume	2	2	FactionWideStockTracker, ZoneFactionStockTracker	src/mechanist/FactionWideStockTracker.java, src/mechanist/ZoneFactionStockTracker.java
consumeInputs	2	1	ControlledProductionJobAuthority, CraftingRecipe	src/mechanist/ProductionAuthorityFramework.java
consumeOne	2	2	ProductionContainerAuthority, ProgressiveConstructionAuthority	src/mechanist/ProductionAuthorityFramework.java, src/mechanist/ProgressiveConstructionAuthority.java
contains	13	13	ButtonBox, Layout, Rect, Result, Variant	src/mechanist/ArbitesPrecinctFixtureAuthority.java, src/mechanist/BarMarketSocialFixtureAuthority.java, src/mechanist/DomesticHabFixtureAuthority.java, src/mechanist/FoodBioProductionFixtureAuthority.java, src/mechanist/GuardPdfDefenseFixtureAuthority.java, src/mechanist/IndustrialForgeFixtureAuthority.java, src/mechanist/LabChemicalFixtureAuthority.java, src/mechanist/MedicaeFixtureAuthority.java, src/mechanist/NobleEstateSecurityFixtureAuthority.java, src/mechanist/RenderScalingCrtAuthority.java, src/mechanist/RoomFixtureInteractionAuthority.java, src/mechanist/UiRuntimeSupportFramework.java, src/mechanist/ZoneGenerationContext.java
containsAny	11	6	ActorAccessAuthority, ChemicalEquipmentAuthority, ControlledProductionJobAuthority, FactionRecipeVariantApi, IndustrialRecipeProfile, ItemSemanticAssetAuthority, LiveProductionPlacementAuthority, ObjectSemanticAssetAuthority, Result, TopologyContext	src/mechanist/EconomicGenerationBiasAuthority.java, src/mechanist/EconomicLocalTopologyMetadataSurfaceAuthority.java, src/mechanist/EconomicTopologyPreviewConsumerAuthority.java, src/mechanist/ItemSemanticAssetAuthority.java, src/mechanist/ObjectSemanticAssetAuthority.java, src/mechanist/ProductionAuthorityFramework.java
controlProfileTitle	2	2	ControlReferenceTextSubsystem, LayerH	src/mechanist/ControlReferenceTextSubsystem.java, src/mechanist/LayerH.java
copy	5	5	BodyPart, Candidate, EditableEntity, RuntimeConfig, WorldSetupSettings	src/mechanist/CharacterIdentityFramework.java, src/mechanist/CombatRuntimeFramework.java, src/mechanist/JvmRuntimeProfileAuthority.java, src/mechanist/SimulationEditorRepository.java, src/mechanist/WorldSimulationFramework.java
corridorArtUsesNorthSouth	2	2	ImageCache, TileImageRegistry	src/mechanist/MediaRuntimeFramework.java, src/mechanist/TileImageRegistry.java
corridorInspectionLine	2	2	Result	src/mechanist/EconomicGenerationBiasAuthority.java, src/mechanist/EconomicLocalTopologyMetadataSurfaceAuthority.java
count	2	2	FactionPopulationTracker, ZonePopulationTracker	src/mechanist/FactionPopulationTracker.java, src/mechanist/ZonePopulationTracker.java
countOrthogonalTurns	2	1	World, WorldGenerationApi	src/mechanist/WorldRuntimeGenerationFramework.java
countsLine	3	3	Result	src/mechanist/EconomicTopologyMapIntelBridgeAuthority.java, src/mechanist/EconomicTopologyReportingOverlayAuthority.java, src/mechanist/RetargetReadinessAuditAuthority.java
create	10	6	ConnectionValidationMode, FactionContract, FactionStrategicPlan, Holder, NpcEntity, NpcFactionSite, PersonnelProvenanceApi, PlayerNewsEvent, ProductionRecipe, SemanticTextManager	src/mechanist/FactionServicesFramework.java, src/mechanist/GameStorageManager.java, src/mechanist/PopulationPersonnelFramework.java, src/mechanist/ProductionAuthorityFramework.java, src/mechanist/SemanticTextManager.java, src/mechanist/ZoneGenerationContext.java
createBranches	2	2	CompositionAudit, KnowledgeStateBridge	src/mechanist/KnowledgeBranchDefinitions.java, src/mechanist/KnowledgeMenu.java
createdAt	2	2	MultiplayerJoinRequest, State	src/mechanist/net/MultiplayerJoinRequest.java, src/mechanist/server/admin/ServerRestartPlan.java
currentLanguage	2	2	MainMenuLanguageSelectorAuthority, SemanticTextManager	src/mechanist/MainMenuLanguageSelectorAuthority.java, src/mechanist/SemanticTextManager.java
currentVersion	2	2	ServerUpdateService, State	src/mechanist/server/admin/ServerUpdateService.java, src/mechanist/server/admin/ServerUpdateStatus.java
cycleArtQuality	2	2	GeneratedArtPayloadOptionsSubsystem, LayerG	src/mechanist/GeneratedArtPayloadOptionsSubsystem.java, src/mechanist/LayerG.java
cycleColorPreset	3	3	AccessibilityRuntimeOptionsSubsystem, LayerF, OptionsBoundaryAuthority	src/mechanist/AccessibilityRuntimeOptionsSubsystem.java, src/mechanist/GameOptionsFramework.java, src/mechanist/LayerF.java
cycleColorTarget	3	3	AccessibilityRuntimeOptionsSubsystem, LayerF, OptionsBoundaryAuthority	src/mechanist/AccessibilityRuntimeOptionsSubsystem.java, src/mechanist/GameOptionsFramework.java, src/mechanist/LayerF.java
cycleCvdMode	2	2	AccessibilityRuntimeOptionsSubsystem, LayerF	src/mechanist/AccessibilityRuntimeOptionsSubsystem.java, src/mechanist/LayerF.java
cycleDoomFogMode	3	3	DoomRuntimeOptionsSubsystem, GameplayQualityOfLifeAuthority, LayerE	src/mechanist/DoomRuntimeOptionsSubsystem.java, src/mechanist/GameplayQualityOfLifeAuthority.java, src/mechanist/LayerE.java
cycleJvmGarbageCollector	2	2	JvmRuntimeOptionsSubsystem, LayerJ	src/mechanist/JvmRuntimeOptionsSubsystem.java, src/mechanist/LayerJ.java
cycleJvmPipelineProfile	2	2	JvmRuntimeOptionsSubsystem, LayerJ	src/mechanist/JvmRuntimeOptionsSubsystem.java, src/mechanist/LayerJ.java
cycleJvmRuntimeProfile	2	2	JvmRuntimeOptionsSubsystem, LayerJ	src/mechanist/JvmRuntimeOptionsSubsystem.java, src/mechanist/LayerJ.java
cycleMapTileSize	2	2	LayerG, MapViewportOptionsSubsystem	src/mechanist/LayerG.java, src/mechanist/MapViewportOptionsSubsystem.java
cycleWindowMode	2	2	LayerG, OptionsBoundaryAuthority	src/mechanist/GameOptionsFramework.java, src/mechanist/LayerG.java
dec	9	4	ContainerRecord, FactionStrategicPlan, ItemInstance, ItemProvenanceRecord, NpcEntity, Persistence, PersonnelReplacementRequest, PlayerNewsEvent, RoomPopulationLedger	src/mechanist/FactionServicesFramework.java, src/mechanist/ItemEconomyFramework.java, src/mechanist/PersistenceFramework.java, src/mechanist/PopulationPersonnelFramework.java
decidePhase3RoomFeatureCommit	2	1	Phase3RoomFeatureCommitDecision	src/mechanist/WorldRuntimeGenerationFramework.java
decode	15	12	ContainerRecord, ContractLifecycleRecord, DeliveryIntentRecord, FulfillmentPreflightRecord, ItemInstance, ItemProvenanceRecord, Key, ManualHaulContractRecord, ManualHaulExecutionRecord, ManualHaulPreviewRecord, ProgressiveConstructionAuthority, RouteIntentRecord, SourceReservationRecord, WorldGenerationProgressRecord, WorldSetupSettings	src/mechanist/ItemEconomyFramework.java, src/mechanist/LogisticsContractLifecycleAuthority.java, src/mechanist/LogisticsDeliveryIntentAuthority.java, src/mechanist/LogisticsHaulFulfillmentPreflightAuthority.java, src/mechanist/LogisticsManualHaulContractAuthority.java, src/mechanist/LogisticsManualHaulExecutionAuthority.java, src/mechanist/LogisticsRouteIntentAuthority.java, src/mechanist/LogisticsRouteReadinessPreviewAuthority.java, src/mechanist/LogisticsSourceReservationAuthority.java, src/mechanist/ObfuscatedStringTable.java, src/mechanist/ProgressiveConstructionAuthority.java, src/mechanist/WorldSimulationFramework.java
decodeRegistry	2	1	ContainerRecord, ItemInstance	src/mechanist/ItemEconomyFramework.java
deobfuscateAsync	3	2	CrashDeobfuscatorEngine, StackTraceDeobfuscator	src/mechanist/CrashDeobfuscatorEngine.java, src/mechanist/StackTraceDeobfuscator.java
describe	2	2	PlayerFacingActionText, PlayerFacingInspectionText	src/mechanist/PlayerFacingActionText.java, src/mechanist/PlayerFacingInspectionText.java
destinationFor	2	1	generated	src/mechanist/WorldSimulationFramework.java
detailLines	11	7	CraftingRecipe, DefenseProfile, Entry, ItemDef, ItemQuality, KnowledgeTreeApi, MachineTierAuthority, QualityAuthorityApi, SemanticAssetInfopediaAuthority, WorldSetupSettings, familiarity	src/mechanist/DefenseSemanticIntegration.java, src/mechanist/ItemEconomyFramework.java, src/mechanist/KnowledgeQualityFramework.java, src/mechanist/ProductionAuthorityFramework.java, src/mechanist/SemanticAssetInfopediaAuthority.java, src/mechanist/TileInfopediaAuthority.java, src/mechanist/WorldSimulationFramework.java
detect	4	4	Profile, SteamNetworkingBridge, SteamWorkshopBridge, WrapperEnvironment	src/mechanist/ModDeploymentManager.java, src/mechanist/SteamNetworkingBridge.java, src/mechanist/UserProfileAuthority.java, src/mechanist/launcher/LauncherWrapperDetector.java
detectBranchCycles	2	1	CompositionAudit	src/mechanist/KnowledgeBranchDefinitions.java
disconnect	2	2	LoginResult, WorldSnapshotSerializer	src/mechanist/PlayerSessionManager.java, src/mechanist/SecureHandshakeStateMachine.java
discover	2	2	GraphicsPackageRegistry, NatTraversalManager	src/mechanist/NatTraversalManager.java, src/mechanist/assets/GraphicsPackageRegistry.java
display	2	2	CandidateLine, ReservationLine	src/mechanist/LogisticsReservationForecastAuthority.java, src/mechanist/LogisticsStorageCandidateAuthority.java
displayLine	2	2	BodyPart, TradeOffer	src/mechanist/CombatRuntimeFramework.java, src/mechanist/ContainerTradeFramework.java
displayLines	2	2	Layout, RouteDescriptor	src/mechanist/LauncherShellStateAuthority.java, src/mechanist/OptionsScreenPainter.java
displayName	9	9	AssetType, ChatRuntimeAuthority, FactionProfile, InputDevice, ItemTemplate, RoomNode, SectorInstance, UnlockResult, ZoneMaterializedItemRecord	src/mechanist/ChatRuntimeAuthority.java, src/mechanist/KnowledgeTree.java, src/mechanist/WorldSimulationFramework.java, src/mechanist/assets/AssetType.java, src/mechanist/input/InputDevice.java, src/mechanist/modapi/FactionProfile.java, src/mechanist/modapi/ItemTemplate.java, src/mechanist/modapi/RoomNode.java, src/mechanist/modapi/SectorInstance.java
dominantPressure	2	2	Result	src/mechanist/EconomicGenerationBiasAuthority.java, src/mechanist/EconomicLocalTopologyMetadataSurfaceAuthority.java
downscaleLabel	2	2	GameOptions, Layout	src/mechanist/GameOptionsFramework.java, src/mechanist/RenderScalingCrtAuthority.java
draw	3	2	ButtonBox, PerformanceDiagnosticsOverlayAuthority, RenderImageScaleCacheAuthority	src/mechanist/PerformanceDiagnosticsOverlayAuthority.java, src/mechanist/UiRuntimeSupportFramework.java
drawCentered	4	4	BootSurfacePainter, GameHudOverlay, IntroCrawlSurfacePainter, LoadingSurfacePainter	src/mechanist/BootSurfacePainter.java, src/mechanist/IntroCrawlSurfacePainter.java, src/mechanist/LoadingSurfacePainter.java, src/mechanist/VisualJuiceFramework.java
emergencyOrthogonalCandidates	2	1	World, WorldGenerationApi	src/mechanist/WorldRuntimeGenerationFramework.java
emergencyPathToNearestReachableCorridor	2	1	World, WorldGenerationApi	src/mechanist/WorldRuntimeGenerationFramework.java
emit	2	2	PrimitiveParticleEmitter2D, SimulationContext	src/mechanist/VisualJuiceFramework.java, src/mechanist/modapi/SimulationContext.java
empty	3	3	AssetRegistry, PlayerSnapshot, VehicleProfile	src/mechanist/RoadTransitFixtureAuthority.java, src/mechanist/WorldSnapshot.java, src/mechanist/assets/AssetRegistry.java
enc	9	4	ContainerRecord, FactionStrategicPlan, ItemInstance, ItemProvenanceRecord, NpcEntity, Persistence, PersonnelReplacementRequest, PlayerNewsEvent, RoomPopulationLedger	src/mechanist/FactionServicesFramework.java, src/mechanist/ItemEconomyFramework.java, src/mechanist/PersistenceFramework.java, src/mechanist/PopulationPersonnelFramework.java
encode	21	13	ContainerRecord, ContractLifecycleRecord, DeliveryIntentRecord, EnvironmentalHazardRecord, FulfillmentPreflightRecord, ItemInstance, ItemProvenanceRecord, LimitedVendingStockAuthority, ManualHaulContractRecord, ManualHaulExecutionRecord, ManualHaulPreviewRecord, PortableLightInstance, ProgressiveConstructionAuthority, RouteIntentRecord, SourceReservationRecord, TrapRecord, WorldGenerationProgressRecord, WorldSetupSettings, ZoneFacilityRecord, ZoneLightSourceRecord	src/mechanist/EnvironmentSensesFramework.java, src/mechanist/ItemEconomyFramework.java, src/mechanist/LimitedVendingStockAuthority.java, src/mechanist/LogisticsContractLifecycleAuthority.java, src/mechanist/LogisticsDeliveryIntentAuthority.java, src/mechanist/LogisticsHaulFulfillmentPreflightAuthority.java, src/mechanist/LogisticsManualHaulContractAuthority.java, src/mechanist/LogisticsManualHaulExecutionAuthority.java, src/mechanist/LogisticsRouteIntentAuthority.java, src/mechanist/LogisticsRouteReadinessPreviewAuthority.java, src/mechanist/LogisticsSourceReservationAuthority.java, src/mechanist/ProgressiveConstructionAuthority.java, src/mechanist/WorldSimulationFramework.java
encodeHistory	8	8	Anchor, CheckResult, DeliveryIntentRecord, ManualHaulContractRecord, ManualHaulPreviewRecord, SourceNeed, a, exists	src/mechanist/LogisticsContractLifecycleAuthority.java, src/mechanist/LogisticsDeliveryIntentAuthority.java, src/mechanist/LogisticsHaulFulfillmentPreflightAuthority.java, src/mechanist/LogisticsManualHaulContractAuthority.java, src/mechanist/LogisticsManualHaulExecutionAuthority.java, src/mechanist/LogisticsRouteIntentAuthority.java, src/mechanist/LogisticsRouteReadinessPreviewAuthority.java, src/mechanist/LogisticsSourceReservationAuthority.java
encodeRegistry	2	1	ContainerRecord, ItemInstance	src/mechanist/ItemEconomyFramework.java
encryptForRecipient	2	1	HybridEncryptionManager	src/mechanist/HybridEncryptionManager.java
ensure	3	3	Result	src/mechanist/EconomicLocalTopologyMetadataSurfaceAuthority.java, src/mechanist/EconomicTopologyMapIntelBridgeAuthority.java, src/mechanist/EconomicTopologyReportingOverlayAuthority.java
ensureInternalBuffer	2	1	Layout	src/mechanist/RenderScalingCrtAuthority.java
entity	2	1	SimulationEditorRepository	src/mechanist/SimulationEditorRepository.java
entries	3	3	Entry, LoreDatabase, SemanticAssetInfopediaAuthority	src/mechanist/NameLockedProfilePortraitAuthority.java, src/mechanist/SemanticAssetInfopediaAuthority.java, src/mechanist/modapi/LoreDatabase.java
equipmentSummary	3	2	DraftIndustrialRecipe, FactionRecipeVariant, NpcEntity	src/mechanist/PopulationPersonnelFramework.java, src/mechanist/ProductionAuthorityFramework.java
error	2	1	DebugLog	src/mechanist/DebugLog.java
esc	14	10	Anchor, CheckResult, DeliveryIntentRecord, EnvironmentalHazardRecord, ManualHaulPreviewRecord, PortableLightInstance, ProgressiveConstructionAuthority, SourceNeed, TrapRecord, ZoneLightSourceRecord, ZoneNoiseSourceRecord, a, exists, only	src/mechanist/EnvironmentSensesFramework.java, src/mechanist/LogisticsContractLifecycleAuthority.java, src/mechanist/LogisticsDeliveryIntentAuthority.java, src/mechanist/LogisticsHaulFulfillmentPreflightAuthority.java, src/mechanist/LogisticsManualHaulContractAuthority.java, src/mechanist/LogisticsManualHaulExecutionAuthority.java, src/mechanist/LogisticsRouteIntentAuthority.java, src/mechanist/LogisticsRouteReadinessPreviewAuthority.java, src/mechanist/LogisticsSourceReservationAuthority.java, src/mechanist/ProgressiveConstructionAuthority.java
escape	2	2	Rejected, SquareCommandBar	src/mechanist/HandshakeNetworkFrame.java, src/mechanist/ui/SquareCommandBar.java
estimatedValue	2	1	FactionRecipeVariant, ProductionRecipe	src/mechanist/ProductionAuthorityFramework.java
event	2	2	PlayerFacingEventLogText, PlayerFacingText	src/mechanist/PlayerFacingEventLogText.java, src/mechanist/PlayerFacingText.java
execute	2	2	EditorUndoRedoController, GameplayConsoleCommandAuthority	src/mechanist/EditorUndoRedoController.java, src/mechanist/GameplayConsoleCommandAuthority.java
exportZip	2	2	ModPackagingPanel, ProfileDialog	src/mechanist/FallbackProfileManagementAuthority.java, src/mechanist/SimulationEditorSuite.java
faction	2	2	PlayerNewsEvent, SimulationContext	src/mechanist/FactionServicesFramework.java, src/mechanist/modapi/SimulationContext.java
failed	3	3	ServerMaintenanceService, ServerSafeRestartService, ServerUpdateService	src/mechanist/server/admin/ServerMaintenanceService.java, src/mechanist/server/admin/ServerSafeRestartService.java, src/mechanist/server/admin/ServerUpdateService.java
finalReport	2	1	FrameLimiterEngine, RenderStressTestCoordinator	src/mechanist/FramePacingAndStressFramework.java
find	4	4	AssetRegistry, Entry, PartitionAudit, SnapshotRingBuffer	src/mechanist/PortraitSemanticAssetAuthority.java, src/mechanist/SnapshotDeltaCompressor.java, src/mechanist/TileInfopediaAuthority.java, src/mechanist/assets/AssetRegistry.java
firstAvailableGamePort	2	1	NetworkPortAuthority	src/mechanist/NetworkPortAuthority.java
firstNonBlank	3	3	ServerRuntimeStatusProvider, TileArtSystem, WrapperEnvironment	src/mechanist/TileArtSystem.java, src/mechanist/launcher/LauncherWrapperDetector.java, src/mechanist/server/admin/ServerRuntimeStatusProvider.java
fit	2	2	TreeCanvasPanel, to	src/mechanist/SimulationEditorSuite.java, src/mechanist/TreeCanvasPanel.java
fmt	6	3	FacilityOutputRunEstimate, FactionManufacturingProfile, FactionRecipeVariant, MachineTierProfile, PerformanceDiagnosticsOverlayAuthority, QualityAuthorityProfile	src/mechanist/KnowledgeQualityFramework.java, src/mechanist/PerformanceDiagnosticsOverlayAuthority.java, src/mechanist/ProductionAuthorityFramework.java
forZone	2	2	RoomProfile, security	src/mechanist/DoorType.java, src/mechanist/RoomProfile.java
fromGame	2	2	AuthoritativeWorldSnapshot, PlayerSnapshot	src/mechanist/AuthoritativeWorldRuntime.java, src/mechanist/WorldSnapshot.java
fromToken	2	2	AssetQualityTier, AssetType	src/mechanist/assets/AssetQualityTier.java, src/mechanist/assets/AssetType.java
frontageInspectionLine	2	2	Variant	src/mechanist/BarMarketSocialFixtureAuthority.java, src/mechanist/MedicaeFixtureAuthority.java
frontageLabel	4	4	Variant, VendingDefinition, WasteNewsprintScavengeAuthority	src/mechanist/BarMarketSocialFixtureAuthority.java, src/mechanist/MedicaeFixtureAuthority.java, src/mechanist/PublicServiceMediaAuthority.java, src/mechanist/WasteNewsprintScavengeAuthority.java
frontageStock	4	4	Variant, VendingDefinition, WasteNewsprintScavengeAuthority	src/mechanist/BarMarketSocialFixtureAuthority.java, src/mechanist/MedicaeFixtureAuthority.java, src/mechanist/PublicServiceMediaAuthority.java, src/mechanist/WasteNewsprintScavengeAuthority.java
generate	3	3	NobleEstateStampGenerator, World, ZoneGenerationManager	src/mechanist/NobleEstateStampGenerator.java, src/mechanist/WorldRuntimeGenerationFramework.java, src/mechanist/ZoneGenerationManager.java
get	7	6	FactionRosterAuthority, Holder, ImageCache, ItemCatalog, JobProfile, PressureProfile, familiarity	src/mechanist/CharacterIdentityFramework.java, src/mechanist/EconomicTopologyFramework.java, src/mechanist/GameStorageManager.java, src/mechanist/ItemEconomyFramework.java, src/mechanist/KnowledgeQualityFramework.java, src/mechanist/MediaRuntimeFramework.java
getAsset	2	1	AssetManager	src/mechanist/assets/AssetManager.java
getTile	4	2	ImageCache, TileImageRegistry	src/mechanist/MediaRuntimeFramework.java, src/mechanist/TileImageRegistry.java
glyphForType	9	9	Variant	src/mechanist/ArbitesPrecinctFixtureAuthority.java, src/mechanist/BarMarketSocialFixtureAuthority.java, src/mechanist/DomesticHabFixtureAuthority.java, src/mechanist/FoodBioProductionFixtureAuthority.java, src/mechanist/GuardPdfDefenseFixtureAuthority.java, src/mechanist/IndustrialForgeFixtureAuthority.java, src/mechanist/LabChemicalFixtureAuthority.java, src/mechanist/MedicaeFixtureAuthority.java, src/mechanist/NobleEstateSecurityFixtureAuthority.java
handleKeyPressed	3	3	FirstPersonRenderViewport, GamePanelKeyController, MultiplayerMenuController	src/mechanist/FirstPerson3DFramework.java, src/mechanist/GamePanelKeyController.java, src/mechanist/MultiplayerMenuController.java
has	11	5	DataSpikeChance, FacilityLinkedRoomCacheApi, FactionWideStockTracker, PopulationWorkAssignmentApi, ProductionFacilityOutputSimulationApi, RoomContainerApi, ZoneContainerInjection, ZoneFactionStockTracker, for, generated	src/mechanist/ContainerTradeFramework.java, src/mechanist/FactionWideStockTracker.java, src/mechanist/LootDropSystemAuthority.java, src/mechanist/WorldSimulationFramework.java, src/mechanist/ZoneFactionStockTracker.java
hasFlag	2	2	ServerAdminEntryBridge, ServerRuntime	src/mechanist/MechanistServerMain.java, src/mechanist/ServerAdminEntryBridge.java
history	2	2	GameplayConsoleCommandAuthority, MultiplayerMenuController	src/mechanist/GameplayConsoleCommandAuthority.java, src/mechanist/MultiplayerMenuController.java
id	10	10	EditableEntity, FactionProfile, ItemTemplate, KnowledgeNode, LoreDatabase, ResearchTree, RoomNode, SectorInstance, SquareCommandAction, UnlockResult	src/mechanist/KnowledgeNode.java, src/mechanist/KnowledgeTree.java, src/mechanist/SimulationEditorRepository.java, src/mechanist/modapi/FactionProfile.java, src/mechanist/modapi/ItemTemplate.java, src/mechanist/modapi/LoreDatabase.java, src/mechanist/modapi/ResearchTree.java, src/mechanist/modapi/RoomNode.java, src/mechanist/modapi/SectorInstance.java, src/mechanist/ui/SquareCommandAction.java
imageIconToBufferedImage	2	2	AssetManager, ImageCache	src/mechanist/MediaRuntimeFramework.java, src/mechanist/assets/AssetManager.java
inBounds	2	2	ConnectionChoice, Tile	src/mechanist/AuthoritativeWorldGrid.java, src/mechanist/WorldRuntimeGenerationFramework.java
infopediaLines	30	30	Anchor, CandidateLine, CheckResult, DefenseProfile, DeliveryIntentRecord, DisplayDensityAuthority, EconomicTopologyPreviewConsumerAuthority, Entry, LaborRole, LauncherClientServerRuntimeAuthority, Layout, LightSample, ManualHaulPreviewRecord, ManualStaffingAssignmentAuthority, PassiveDefenseEffectsAuthority, ReservationForecast, Result, RouteDescriptor, RuntimeConfig, RuntimeSeparationAuthority	src/mechanist/DefenseSemanticIntegration.java, src/mechanist/DisplayDensityAuthority.java, src/mechanist/EconomicGenerationBiasAuthority.java, src/mechanist/EconomicLocalTopologyMetadataSurfaceAuthority.java, src/mechanist/EconomicTopologyFramework.java, src/mechanist/EconomicTopologyMapIntelBridgeAuthority.java, src/mechanist/EconomicTopologyPreviewConsumerAuthority.java, src/mechanist/EconomicTopologyReportingOverlayAuthority.java, src/mechanist/JvmRuntimeProfileAuthority.java, src/mechanist/LauncherClientServerRuntimeAuthority.java, src/mechanist/LauncherShellStateAuthority.java, src/mechanist/LogisticsDeliveryIntentAuthority.java, src/mechanist/LogisticsHaulFulfillmentPreflightAuthority.java, src/mechanist/LogisticsManualHaulContractAuthority.java, src/mechanist/LogisticsManualHaulExecutionAuthority.java, src/mechanist/LogisticsReservationForecastAuthority.java, src/mechanist/LogisticsRouteIntentAuthority.java, src/mechanist/LogisticsRouteReadinessPreviewAuthority.java, src/mechanist/LogisticsSourceReservationAuthority.java, src/mechanist/LogisticsStorageCandidateAuthority.java
init	2	2	DebugLog, OptionalJamepadBackend	src/mechanist/DebugLog.java, src/mechanist/GamepadInputEngine.java
initialize	4	4	MediaLayerAlpha, SecureServerNetworkingCore, ServerRuntime, ZoneEconomyInitializationManager	src/mechanist/MechanistServerMain.java, src/mechanist/MediaLayerAlpha.java, src/mechanist/SecureServerNetworkingCore.java, src/mechanist/ZoneEconomyInitializationManager.java
input	2	1	CraftingRecipe, DraftIndustrialRecipe	src/mechanist/ProductionAuthorityFramework.java
inputSummary	3	1	CraftingRecipe, DraftIndustrialRecipe, FactionRecipeVariant	src/mechanist/ProductionAuthorityFramework.java
inspectLine	2	2	CompiledTileDescriptor, PassiveDefenseEffectsAuthority	src/mechanist/PassiveDefenseEffectsAuthority.java, src/mechanist/TileDataCompilationAuthority.java
inspectionLine	10	10	Variant, VehicleProfile	src/mechanist/ArbitesPrecinctFixtureAuthority.java, src/mechanist/BarMarketSocialFixtureAuthority.java, src/mechanist/DomesticHabFixtureAuthority.java, src/mechanist/FoodBioProductionFixtureAuthority.java, src/mechanist/GuardPdfDefenseFixtureAuthority.java, src/mechanist/IndustrialForgeFixtureAuthority.java, src/mechanist/LabChemicalFixtureAuthority.java, src/mechanist/MedicaeFixtureAuthority.java, src/mechanist/NobleEstateSecurityFixtureAuthority.java, src/mechanist/RoadTransitFixtureAuthority.java
intAfter	2	2	ParsedToken, SourceNeed	src/mechanist/LogisticsManualHaulExecutionAuthority.java, src/mechanist/LogisticsStorageCandidateAuthority.java
integrate	2	2	PredictedLocalController, Projectile2DPool	src/mechanist/PredictedLocalController.java, src/mechanist/VisualJuiceFramework.java
interaction	2	2	Context, PlayerFacingActionText	src/mechanist/PlayerFacingActionText.java, src/mechanist/PlayerFacingDenialText.java
interactionVerb	9	9	Variant	src/mechanist/ArbitesPrecinctFixtureAuthority.java, src/mechanist/BarMarketSocialFixtureAuthority.java, src/mechanist/DomesticHabFixtureAuthority.java, src/mechanist/FoodBioProductionFixtureAuthority.java, src/mechanist/GuardPdfDefenseFixtureAuthority.java, src/mechanist/IndustrialForgeFixtureAuthority.java, src/mechanist/LabChemicalFixtureAuthority.java, src/mechanist/MedicaeFixtureAuthority.java, src/mechanist/NobleEstateSecurityFixtureAuthority.java
internalHeight	2	1	Layout	src/mechanist/RenderScalingCrtAuthority.java
internalWidth	2	1	Layout	src/mechanist/RenderScalingCrtAuthority.java
intersects	2	2	AabbCollisionSystem, Rect	src/mechanist/VisualJuiceFramework.java, src/mechanist/ZoneGenerationContext.java
inventory	2	2	Context, PlayerFacingActionText	src/mechanist/PlayerFacingActionText.java, src/mechanist/PlayerFacingDenialText.java
isCorridorGlyph	2	2	Result, World	src/mechanist/TileDataCompilationAuthority.java, src/mechanist/WorldRuntimeGenerationFramework.java
isFamilyType	10	10	Variant, WasteNewsprintScavengeAuthority	src/mechanist/ArbitesPrecinctFixtureAuthority.java, src/mechanist/BarMarketSocialFixtureAuthority.java, src/mechanist/DomesticHabFixtureAuthority.java, src/mechanist/FoodBioProductionFixtureAuthority.java, src/mechanist/GuardPdfDefenseFixtureAuthority.java, src/mechanist/IndustrialForgeFixtureAuthority.java, src/mechanist/LabChemicalFixtureAuthority.java, src/mechanist/MedicaeFixtureAuthority.java, src/mechanist/NobleEstateSecurityFixtureAuthority.java, src/mechanist/WasteNewsprintScavengeAuthority.java
isFreightLike	2	2	Result, TopologyContext	src/mechanist/EconomicTopologyPreviewConsumerAuthority.java, src/mechanist/EconomicTopologyReportingOverlayAuthority.java
isKnown	2	2	GameplayConsoleCommandAuthority, SemanticAssetResolver	src/mechanist/GameplayConsoleCommandAuthority.java, src/mechanist/assets/SemanticAssetResolver.java
isMultiplayerSessionLocked	2	2	IntegratedLocalMultiplayerHost, TickTarget	src/mechanist/IntegratedLocalMultiplayerHost.java, src/mechanist/WorldSimulationClock.java
isOrdinaryPlacementInsidePhase3InteriorBounds	2	1	WorldGenerationApi	src/mechanist/WorldRuntimeGenerationFramework.java
isOrdinaryRoomPlacementInsidePhase3InteriorBounds	2	1	WorldGenerationApi	src/mechanist/WorldRuntimeGenerationFramework.java
isProtected	3	3	LoginResult, ProtectionState, Result	src/mechanist/LoginProtectionTracker.java, src/mechanist/PlayerSessionManager.java, src/mechanist/RoadAdjacencyIntegrationAuthority.java
isTraversable	2	2	FailClosedPhase3TileAccess, Tile	src/mechanist/AuthoritativeWorldGrid.java, src/mechanist/WorldRuntimeGenerationFramework.java
isValidPlayerRole	2	2	PlayerFactionWorldAuthority, PlayerNpcCommandParityAuthority	src/mechanist/PlayerFactionWorldAuthority.java, src/mechanist/PlayerNpcCommandParityAuthority.java
isWindowsHost	2	2	JvmRuntimeOptionsSubsystem, LayerJ	src/mechanist/JvmRuntimeOptionsSubsystem.java, src/mechanist/LayerJ.java
item	3	3	JobProfile, PlayerFacingInspectionText, SimulationContext	src/mechanist/CharacterIdentityFramework.java, src/mechanist/PlayerFacingInspectionText.java, src/mechanist/modapi/SimulationContext.java
items	2	2	LimitedVendingStockAuthority, SimulationContext	src/mechanist/LimitedVendingStockAuthority.java, src/mechanist/modapi/SimulationContext.java
join	2	2	PersonnelProvenanceRecord, Rejected	src/mechanist/HandshakeNetworkFrame.java, src/mechanist/PopulationPersonnelFramework.java
